,OHrel
1851,0.949836518908321
1852,0.9418195866531074
1853,0.9608639413276108
1854,0.9344456708584772
1855,0.9330321700173008
1856,0.9318331539192205
1857,0.9467676007119388
1858,0.9477606179435196
1859,0.9277521666150828
1860,0.9414414242254294
1861,0.9444026940538374
1862,0.9303689045684883
1863,0.9168446032313682
1864,0.9133079060914434
1865,0.9120405422566072
1866,0.9283284341523957
1867,0.9168144721772509
1868,0.9414925477361787
1869,0.930467813300772
1870,0.9294105551049487
1871,0.9397680617087262
1872,0.9276291776751532
1873,0.9214100057832147
1874,0.9223246370081923
1875,0.9403565272238074
1876,0.929983271321184
1877,0.9249628078280746
1878,0.9170272563780046
1879,0.933920792282738
1880,0.9538835597211215
1881,0.9402817072650753
1882,0.9057989718138862
1883,0.9123602489168621
1884,0.9033335315213209
1885,0.9185402884886783
1886,0.9176501253490135
1887,0.9189786542610862
1888,0.9375103401057298
1889,0.933187147591888
1890,0.909564074072513
1891,0.9169226492805063
1892,0.9317552085282279
1893,0.9146080174284195
1894,0.8956486111059392
1895,0.9166113720818179
1896,0.9171798147181637
1897,0.8951686086716599
1898,0.9060708874107211
1899,0.9164193280432067
1900,0.9184100548214414
1901,0.9264802151678486
1902,0.9184915775225406
1903,0.8969514693136442
1904,0.8948881623694076
1905,0.8999995184774714
1906,0.8860360614697572
1907,0.9188554208636874
1908,0.9062600271604105
1909,0.8904130736392143
1910,0.89326580578589
1911,0.8950566195906104
1912,0.8944636420313042
1913,0.9087329135963025
1914,0.8979063265195499
1915,0.9153055802616445
1916,0.9000180461331295
1917,0.9002459816877545
1918,0.90356830836103
1919,0.9210910646231436
1920,0.9121567154597087
1921,0.9112062704171108
1922,0.9188408706921158
1923,0.9210837428867041
1924,0.8995482173506034
1925,0.905529639129929
1926,0.9136496485014503
1927,0.9160863360877204
1928,0.9083319707365948
1929,0.9292769980409199
1930,0.8991083295909292
1931,0.8950201591417757
1932,0.9231662511096661
1933,0.9215398011092554
1934,0.9301869152347659
1935,0.8817101011717687
1936,0.9199310938470797
1937,0.9205981063773099
1938,0.8972643341671935
1939,0.9135596302343217
1940,0.9178310032074927
1941,0.9190051840648917
1942,0.9155035494063168
1943,0.9218773995135128
1944,0.924457886564857
1945,0.9187359695542404
1946,0.9249483419812452
1947,0.9386023893614633
1948,0.915352246122266
1949,0.8952676720008016
1950,0.9214557262605085
1951,0.9092989244894049
1952,0.9294191139548745
1953,0.9435984265199863
1954,0.9313860216891852
1955,0.924990026993471
1956,0.920167009567351
1957,0.9387430708191661
1958,0.9373498266967059
1959,0.9534883482587503
1960,0.9562946430268733
1961,0.9384572059849886
1962,0.9360512574842752
1963,0.9032172638700666
1964,0.9329638311690877
1965,0.9483234210543082
1966,0.9355316353580208
1967,0.932974528037428
1968,0.9346746352692764
1969,0.9496829827331174
1970,0.9484772108569998
1971,0.9288728902585687
1972,0.926578849347684
1973,0.9494948246328602
1974,0.9458153958141282
1975,0.9476050675779653
1976,0.9345102358844086
1977,0.9402709761512202
1978,0.9322286060583163
1979,0.9434584800842285
1980,0.9422398074736713
1981,0.9169459676255117
1982,0.9355294534027022
1983,0.952522076723426
1984,0.9187304387891994
1985,0.9482551380657879
1986,0.9618383574317062
1987,0.9666736929764123
1988,0.9434838960512796
1989,0.9539939421735821
1990,0.9659020232513675
1991,0.9545363937129118
1992,0.9458759767224802
1993,0.9699483152942219
1994,1.00337382870574
1995,0.9978362632625947
1996,0.9825576869865582
1997,0.9947098414673605
1998,1.006131721795455
1999,1.0041603518932443
2000,1.0
2001,1.0118607066832692
2002,1.02438990981578
2003,1.0039572242532473
2004,1.0161953298692759
2005,1.0489765318156854
2006,1.043985002722443
2007,1.040134538478686
2008,1.0686411482614846
2009,1.0652009706671075
2010,1.0408912342451258
2011,1.0166457357867178
2012,1.0364884261972198
2013,1.0609948583393607
2014,1.0674983963960207
