Year,OHrel
1851,0.9894299287410926
1852,0.9680522565320665
1853,0.9855106888361045
1854,0.9973871733966746
1855,0.9998812351543943
1856,0.9824228028503563
1857,0.9882422802850356
1858,0.9817102137767221
1859,0.9756532066508313
1860,0.9947743467933491
1861,0.9843230403800476
1862,0.9830166270783847
1863,0.9724465558194775
1864,0.9785035629453682
1865,0.9586698337292161
1866,0.9628266033254156
1867,0.9719714964370546
1868,0.9719714964370546
1869,0.9790973871733967
1870,0.9814726840855106
1871,0.9587885985748219
1872,0.9712589073634206
1873,0.9567695961995248
1874,0.959144893111639
1875,0.9870546318289787
1876,0.9826603325415676
1877,0.9739904988123517
1878,0.978978622327791
1879,0.9704275534441804
1880,0.9703087885985748
1881,0.9804038004750595
1882,0.9788598574821854
1883,0.9438242280285036
1884,0.9179334916864609
1885,0.9458432304038006
1886,0.9612826603325415
1887,0.968289786223278
1888,0.9558194774346793
1889,0.9684085510688836
1890,0.9701900237529691
1891,0.9608076009501187
1892,0.9445368171021378
1893,0.9663895486935867
1894,0.9653206650831354
1895,0.9616389548693586
1896,0.975059382422803
1897,0.9754156769596198
1898,0.9680522565320665
1899,0.947624703087886
1900,0.9558194774346793
1901,0.9742280285035629
1902,0.9779097387173397
1903,0.9427553444180522
1904,0.9350356294536818
1905,0.9665083135391924
1906,0.9636579572446556
1907,0.9589073634204276
1908,0.9602137767220904
1909,0.9624703087885985
1910,0.9554631828978623
1911,0.9654394299287411
1912,0.9773159144893111
1913,0.9589073634204276
1914,0.9534441805225654
1915,0.959144893111639
1916,0.9743467933491687
1917,0.9650831353919239
1918,0.9412114014251781
1919,0.9510688836104512
1920,0.9741092636579572
1921,0.9657957244655582
1922,0.9542755344418052
1923,0.9536817102137767
1924,0.9744655581947743
1925,0.9776722090261282
1926,0.9783847980997624
1927,0.966627078384798
1928,0.9675771971496437
1929,0.9542755344418052
1930,0.9662707838479809
1931,0.9558194774346793
1932,0.9331353919239905
1933,0.9611638954869359
1934,0.9687648456057008
1935,0.9552256532066508
1936,0.9731591448931117
1937,0.9573634204275534
1938,0.9609263657957244
1939,0.944893111638955
1940,0.9566508313539193
1941,0.9630641330166271
1942,0.9516627078384798
1943,0.9519002375296913
1944,0.9654394299287411
1945,0.9731591448931117
1946,0.9657957244655582
1947,0.9579572446555821
1948,0.9648456057007126
1949,0.9614014251781473
1950,0.9629453681710215
1951,0.9697149643705463
1952,0.9729216152019002
1953,0.973396674584323
1954,0.9749406175771971
1955,0.9859857482185272
1956,0.9961995249406176
1957,0.9758907363420428
1958,0.9593824228028502
1959,0.9805225653206652
1960,0.9798099762470309
1961,0.9840855106888361
1962,0.9644893111638956
1963,0.9748218527315915
1964,0.9743467933491687
1965,0.9828978622327791
1966,0.969477434679335
1967,0.9595011876484562
1968,0.9831353919239906
1969,0.9828978622327791
1970,0.9811163895486935
1971,0.9726840855106887
1972,0.9584323040380048
1973,0.9764845605700712
1974,0.9889548693586698
1975,0.9819477434679336
1976,0.9667458432304039
1977,0.9749406175771971
1978,0.9840855106888361
1979,0.9870546318289787
1980,0.973396674584323
1981,0.9469121140142518
1982,0.9510688836104512
1983,0.9574821852731591
1984,0.9701900237529691
1985,0.969477434679335
1986,0.9635391923990498
1987,0.9714964370546318
1988,0.9729216152019002
1989,0.9624703087885985
1990,0.9648456057007126
1991,0.9602137767220904
1992,0.9751781472684086
1993,0.9838479809976248
1994,0.9820665083135393
1995,1.00083135391924
1996,1.0097387173396675
1997,1.0019002375296913
1998,0.9849168646080759
1999,1.0138954869358672
2000,1.0
2001,1.0052256532066508
2002,1.0241092636579572
2003,1.0109263657957246
2004,1.0212589073634204
2005,1.0344418052256532
2006,1.0453681710213776
2007,1.0486935866983373
2008,1.047980997624703
2009,1.0418052256532067
2010,1.031710213776722
2011,1.0517814726840855
2012,1.0209026128266034
2013,1.0540380047505937
2014,1.0549881235154392
