Year,OHrel
1851,0.9412842131551553
1852,0.9362485379364046
1853,0.942845443252088
1854,0.9510261413798053
1855,0.9496597164952046
1856,0.9347152920128297
1857,0.9381337827698552
1858,0.940675251814267
1859,0.9388342076851294
1860,0.9419436948236385
1861,0.9477702654410418
1862,0.9399638119577617
1863,0.9320586798914725
1864,0.9405666682825554
1865,0.9348259683455726
1866,0.9310997664441457
1867,0.9340811902528623
1868,0.9421629005932025
1869,0.93708017219839
1870,0.9385655915433969
1871,0.9323463851000827
1872,0.9325247074752955
1873,0.9267071138032036
1874,0.9363638497438824
1875,0.9336622525902318
1876,0.9295992515730642
1877,0.933362426148301
1878,0.9398631201375638
1879,0.9346292711055065
1880,0.9396291460521429
1881,0.932928938179078
1882,0.9321458273660537
1883,0.927245964077744
1884,0.9063146242207728
1885,0.9201928838076455
1886,0.9221012346137921
1887,0.9254529855046242
1888,0.9295992954253139
1889,0.9299168779223045
1890,0.9206570056002846
1891,0.9197355569636847
1892,0.9293822750773094
1893,0.93128935205996
1894,0.9344863134025134
1895,0.927670325498532
1896,0.9271819095134523
1897,0.9211193129983624
1898,0.9334023288051502
1899,0.9293426650189983
1900,0.932026207252731
1901,0.9289872507960003
1902,0.9238186244803358
1903,0.9096906544233456
1904,0.9282174438794265
1905,0.9343276061233202
1906,0.9217500227569143
1907,0.9200964439679137
1908,0.9166383402645746
1909,0.9294134909914785
1910,0.9301044050789752
1911,0.9203168869389674
1912,0.917861890492699
1913,0.9153522620058561
1914,0.9172523596637158
1915,0.9258515685740335
1916,0.9341211235776573
1917,0.9140538113673479
1918,0.9263980412200353
1919,0.933049150642235
1920,0.9281170619947116
1921,0.9164899092643194
1922,0.922473721421936
1923,0.928206900567663
1924,0.9231032390484635
1925,0.9269560644520737
1926,0.9323928975566748
1927,0.9400161009817881
1928,0.9340998029758288
1929,0.9251574396305914
1930,0.9261612814947601
1931,0.9359585702347949
1932,0.9286697034445061
1933,0.9328073700840527
1934,0.9365462663521119
1935,0.9223063010371756
1936,0.9225374682948045
1937,0.9374396474130554
1938,0.9231065464791247
1939,0.9203144312989919
1940,0.9311734470716001
1941,0.9303414254502539
1942,0.9245150470246103
1943,0.9239260843328463
1944,0.9321985644189096
1945,0.9309944424293383
1946,0.9451937808374046
1947,0.9361164609182021
1948,0.9437270597065495
1949,0.943759216196764
1950,0.9393328584889197
1951,0.9391917103522172
1952,0.9400573652271816
1953,0.9455121375749121
1954,0.9364677934454567
1955,0.9389972718593406
1956,0.9475680024541521
1957,0.9397889403493016
1958,0.9433023718664618
1959,0.946695069380465
1960,0.9468243895010501
1961,0.9438805463364334
1962,0.9387498242637561
1963,0.9364687651523194
1964,0.9359599334948214
1965,0.9337246402213658
1966,0.9404785704543229
1967,0.9497595948581329
1968,0.9370049948679844
1969,0.9280584898374767
1970,0.9310319169857609
1971,0.9400771662209902
1972,0.93738633891852
1973,0.9427237322086971
1974,0.9393938692896221
1975,0.9368647501910218
1976,0.9390092918056877
1977,0.9426723500201556
1978,0.9375642024296678
1979,0.9376883232460159
1980,0.9326172594995131
1981,0.9386171607717383
1982,0.9345873208518932
1983,0.923034121907515
1984,0.9361935071458208
1985,0.9429116114583782
1986,0.9379668683147621
1987,0.9479660251352602
1988,0.9521178273982659
1989,0.9519228006626133
1990,0.9475227533975458
1991,0.9507542459286759
1992,0.9501464711400245
1993,0.9691417286570888
1994,0.9660698427000969
1995,0.9795184117073962
1996,0.9783667683387051
1997,0.9670865827847918
1998,0.9629622926561684
1999,0.9906558430036997
2000,1.0
2001,0.9994318166869429
2002,0.9962534125964058
2003,0.9993419902981833
2004,1.012728547806936
2005,1.0206268759572696
2006,1.015072223395484
2007,1.022280226358788
2008,1.0265446892683248
2009,1.021676968910472
2010,1.019966610083692
2011,1.0241878228564238
2012,1.0173568281269294
2013,1.0102400386813055
2014,1.0133862484968856
