Year,OHrel
1851,0.965357070948124
1852,0.9521503972342356
1853,0.9641780660440962
1854,0.97420665738824
1855,0.9747704758247995
1856,0.958569047431593
1857,0.9631880315274454
1858,0.9611927327954946
1859,0.9572437071679804
1860,0.9683590208084938
1861,0.9660466529105447
1862,0.9614902195180732
1863,0.952252617855475
1864,0.9595351156139618
1865,0.9467479010373944
1866,0.9469631848847806
1867,0.9530263433449584
1868,0.9570671985151286
1869,0.9580887796858933
1870,0.9600191378144538
1871,0.9455674918374524
1872,0.9518918074193581
1873,0.9417383550013643
1874,0.9477543714277608
1875,0.9603584422096052
1876,0.956129792057316
1877,0.9536764624803263
1878,0.9594208712326774
1879,0.9525284122748434
1880,0.9549689673253589
1881,0.9566663693270687
1882,0.9555028424241195
1883,0.9355350960531238
1884,0.9121240579536168
1885,0.933018057105723
1886,0.9416919474731669
1887,0.946871385863951
1888,0.9427093864299967
1889,0.9491627144955941
1890,0.9454235146766269
1891,0.9402715789569017
1892,0.9369595460897235
1893,0.9488394503767734
1894,0.9499034892428244
1895,0.9446546401839453
1896,0.9511206459681276
1897,0.9482674949789911
1898,0.9507272926686083
1899,0.9384836840534422
1900,0.9439228423437052
1901,0.9516076396497817
1902,0.9508641815988377
1903,0.926222999420699
1904,0.9316265366665542
1905,0.9504179598312563
1906,0.942703990000785
1907,0.9395019036941706
1908,0.9384260584933325
1909,0.9459418998900385
1910,0.9427837939884187
1911,0.9428781584338543
1912,0.947588902491005
1913,0.9371298127131418
1914,0.9353482700931406
1915,0.9424982308428362
1916,0.954233958463413
1917,0.9395684733796359
1918,0.9338047213226067
1919,0.9420590171263431
1920,0.9511131628263344
1921,0.9411428168649387
1922,0.9383746279318705
1923,0.9409443053907198
1924,0.9487843986216189
1925,0.9523141367391009
1926,0.9553888478282186
1927,0.9533215896832931
1928,0.9508385000627363
1929,0.9397164870361983
1930,0.9462160326713704
1931,0.945889023834737
1932,0.9309025476842483
1933,0.9469856327854943
1934,0.9526555559789063
1935,0.9387659771219132
1936,0.9478483065939581
1937,0.9474015339203044
1938,0.9420164561374246
1939,0.9326037714689734
1940,0.9439121392127596
1941,0.9467027792334405
1942,0.938088877431545
1943,0.9379131609312688
1944,0.9488189971738253
1945,0.952076793661225
1946,0.9554947526514814
1947,0.9470368527868921
1948,0.9542863327036311
1949,0.9525803206874557
1950,0.9511391133299706
1951,0.9544533373613817
1952,0.9564894902145409
1953,0.9594544060796175
1954,0.955704205511327
1955,0.962491510038934
1956,0.9718837636973848
1957,0.9578398383456722
1958,0.951342397334656
1959,0.963608817350565
1960,0.9633171828740406
1961,0.9639830285126347
1962,0.9516195677138258
1963,0.9556453089419554
1964,0.9551533634219951
1965,0.9583112512270724
1966,0.954978002566829
1967,0.9546303912532945
1968,0.9600701933959874
1969,0.9554781760351279
1970,0.9560741532672272
1971,0.9563806258658395
1972,0.9479093214782623
1973,0.9596041463893841
1974,0.964174369324146
1975,0.9594062468294777
1976,0.9528775675180459
1977,0.9588064837986763
1978,0.9608248565592519
1979,0.9623714775374973
1980,0.9530069670419181
1981,0.942764637392995
1982,0.9428281022311722
1983,0.940258153590337
1984,0.953191765449395
1985,0.9561945230688567
1986,0.950753030356906
1987,0.959731231094946
1988,0.9625197213000831
1989,0.9571965547256058
1990,0.9561841795491293
1991,0.9554840113253831
1992,0.9626623092042166
1993,0.9764948548273569
1994,0.9740681755068181
1995,0.9901748828133181
1996,0.9940527428391863
1997,0.9844934101572416
1998,0.9739395786321221
1999,1.0022756649697835
2000,1.0
2001,1.0023287349467969
2002,1.0101813381271816
2003,1.005134178046954
2004,1.0169937275851781
2005,1.0275343405914614
2006,1.0302201972084308
2007,1.0354869065285626
2008,1.0372628434465139
2009,1.0317410972818393
2010,1.025838411930207
2011,1.0379846477702546
2012,1.0191297204767664
2013,1.0321390217159496
2014,1.0341871860061624
