,OHrel
1960 ,0.9613265713791463
1961 ,0.9726311194238833
1962 ,0.9713663882011265
1963 ,0.9696184790488918
1964 ,0.961183889025499
1965 ,0.9533499864139144
1966 ,0.9690051905693763
1967 ,0.9656682076523754
1968 ,0.9609869598643427
1969 ,0.9626693575908299
1970 ,0.955479136029938
1971 ,0.9688851124718478
1972 ,0.9589765230272111
1973 ,0.9762323197446214
1974 ,0.9744794580925732
1975 ,0.9705565434065254
1976 ,0.9588628104354485
1977 ,0.9568993508296301
1978 ,0.961811523486399
1979 ,0.9518702504411126
1980 ,0.945188640257681
1981 ,0.9546505499390586
1982 ,0.9392968262105402
1983 ,0.9567961568629112
1984 ,0.9691059796960036
1985 ,0.9755748992540209
1986 ,0.9645486870094584
1987 ,0.959660034901454
1988 ,0.9777129860995646
1989 ,0.9732456340009324
1990 ,0.9692637945078538
1991 ,0.9501551911381053
1992 ,0.9563406971975353
1993 ,0.9775863725960032
1994 ,0.9742920893025631
1995 ,0.993514879811915
1996 ,0.9949355481047832
1997 ,0.9739789657857977
1998 ,0.978484544105812
1999 ,1.0020032182953356
2000 ,1.0
2001 ,0.9957194080711342
2002 ,0.9907340745285244
2003 ,0.9908327979015703
2004 ,0.9954821174514353
2005 ,0.998479383145018
2006 ,1.003616275880426
2007 ,0.9980957153069057
2008 ,1.0154419554063654
2009 ,1.0085287371860152
2010,1.020070773527674
