,Lifetime
1750,1606548.19193596
1751,1606095.2067725677
1752,1605642.2216091754
1753,1605189.2364457832
1754,1604736.251282391
1755,1604283.2661189984
1756,1603830.280955606
1757,1603377.2957922136
1758,1602924.3106288214
1759,1602471.325465429
1760,1602018.340302037
1761,1601565.3551386446
1762,1601112.3699752523
1763,1600659.3848118596
1764,1600206.3996484673
1765,1599753.414485075
1766,1599300.4293216828
1767,1598847.4441582907
1768,1598394.458994898
1769,1597941.4738315057
1770,1597488.4886681135
1771,1597035.503504721
1772,1596582.5183413287
1773,1596129.5331779362
1774,1595676.548014544
1775,1595223.5628511517
1776,1594770.5776877594
1777,1594317.592524367
1778,1593864.607360975
1779,1593411.6221975822
1780,1592958.63703419
1781,1592505.6518707976
1782,1592052.6667074051
1783,1591599.681544013
1784,1591146.6963806208
1785,1590693.7112172283
1786,1590240.726053836
1787,1589787.7408904438
1788,1589334.7557270513
1789,1588881.770563659
1790,1588428.7854002668
1791,1587975.8002368743
1792,1587522.815073482
1793,1587069.8299100897
1794,1586616.8447466975
1795,1586163.8595833052
1796,1585710.8744199125
1797,1585257.8892565202
1798,1584804.904093128
1799,1584351.9189297357
1800,1583898.9337663434
1801,1583445.9486029511
1802,1582992.9634395586
1803,1582539.9782761664
1804,1582086.993112774
1805,1581634.0079493816
1806,1581181.0227859893
1807,1580728.037622597
1808,1580275.0524592046
1809,1579822.0672958125
1810,1579369.08213242
1811,1578916.0969690278
1812,1578463.1118056355
1813,1578010.126642243
1814,1577557.1414788507
1815,1577104.1563154582
1816,1576651.1711520662
1817,1576198.1859886737
1818,1575745.2008252814
1819,1575292.215661889
1820,1574839.2304984967
1821,1574386.2453351042
1822,1573933.260171712
1823,1573480.2750083196
1824,1573027.2898449274
1825,1572574.3046815349
1826,1572121.3195181424
1827,1571668.3343547503
1828,1571215.3491913578
1829,1570762.3640279656
1830,1570309.3788645733
1831,1569856.3937011806
1832,1569403.4085377885
1833,1568950.4233743963
1834,1568497.438211004
1835,1568044.4530476118
1836,1567591.4678842195
1837,1567138.482720827
1838,1566685.4975574345
1839,1566232.5123940422
1840,1565779.52723065
1841,1565326.5420672577
1842,1564873.5569038654
1843,1564420.571740473
1844,1563967.5865770807
1845,1563514.6014136884
1846,1563061.616250296
1847,1562608.6310869036
1848,1562155.6459235111
1849,1561702.6607601189
1850,1561249.6755967266
1851,1560823.083826595
1852,1560396.4920564631
1853,1559969.9002863315
1854,1559543.3085162
1855,1559116.7167460686
1856,1558690.1249759367
1857,1558263.533205805
1858,1557836.9414356735
1859,1557410.3496655417
1860,1556983.75789541
1861,1556557.1661252785
1862,1556130.5743551468
1863,1555703.982585015
1864,1555277.3908148834
1865,1554850.7990447518
1866,1554424.2072746202
1867,1553997.6155044886
1868,1553571.023734357
1869,1553144.4319642251
1870,1552717.8401940935
1871,1552291.248423962
1872,1551864.65665383
1873,1551438.0648836987
1874,1551011.4731135669
1875,1550584.881343435
1876,1550158.2895733034
1877,1549731.697803172
1878,1549305.1060330404
1879,1548878.5142629086
1880,1548451.922492777
1881,1548025.3307226454
1882,1547598.7389525133
1883,1547172.147182382
1884,1546745.5554122506
1885,1546318.9636421187
1886,1545892.371871987
1887,1545465.7801018553
1888,1545039.1883317237
1889,1544612.5965615918
1890,1544186.0047914605
1891,1543759.4130213289
1892,1543332.821251197
1893,1542906.2294810652
1894,1542479.6377109338
1895,1542053.045940802
1896,1541626.4541706704
1897,1541199.8624005388
1898,1540773.2706304071
1899,1540346.6788602753
1900,1539920.0870901437
1901,1539493.4953200123
1902,1539066.9035498805
1903,1538640.3117797489
1904,1538213.720009617
1905,1537787.1282394857
1906,1537360.5364693538
1907,1536933.9446992222
1908,1536507.3529290906
1909,1536080.7611589588
1910,1535654.1693888272
1911,1535227.5776186958
1912,1534800.985848564
1913,1534374.3940784323
1914,1533947.8023083007
1915,1533521.210538169
1916,1533094.6187680373
1917,1532668.0269979057
1918,1532241.435227774
1919,1531814.8434576422
1920,1531388.2516875106
1921,1530961.659917379
1922,1530535.0681472472
1923,1530108.4763771158
1924,1529681.8846069842
1925,1529255.2928368526
1926,1528828.7010667208
1927,1528402.1092965892
1928,1527975.5175264576
1929,1527548.9257563257
1930,1527122.333986194
1931,1526695.7422160625
1932,1526269.1504459307
1933,1525842.558675799
1934,1525415.9669056677
1935,1524989.3751355358
1936,1524562.7833654045
1937,1524136.1915952726
1938,1523709.599825141
1939,1523283.0080550092
1940,1522856.4162848778
1941,1522429.824514746
1942,1522003.2327446141
1943,1521576.6409744825
1944,1521150.049204351
1945,1520723.4574342195
1946,1520296.8656640877
1947,1519870.2738939563
1948,1519443.6821238245
1949,1519017.0903536926
1950,1518590.498583561
1951,1519049.7988605222
1952,1519509.0991374836
1953,1519968.399414445
